자치구,법정동,사업구분,진행단계,상태
영등포구,당산동,가로주택정비,조합설립추진위원회승인,운영
영등포구,신길동,재개발(도시정비형),조합설립추진위원회승인,운영
영등포구,신길동,가로주택정비,조합설립추진위원회승인,운영
영등포구,신길동,재개발(도시정비형),조합설립추진위원회승인,운영
영등포구,신길동,가로주택정비,조합설립추진위원회승인,운영
영등포구,신길동,가로주택정비,조합설립추진위원회승인,운영
영등포구,대림동,가로주택정비,정비계획 수립,운영
영등포구,신길동,재개발(도시정비형),정비계획 수립,운영
동작구,노량진동,재개발(주택정비형),관리처분인가,운영
서대문구,북아현동,재개발(도시정비형),정비계획 수립,운영
금천구,시흥동,가로주택정비,조합설립인가,운영
성북구,길음동,재개발(주택정비형),일반분양승인,운영
동작구,신대방동,지역주택,조합설립인가,운영
강동구,천호동,가로주택정비,조합설립인가,운영
금천구,가산동,재건축,정비계획 수립,운영
은평구,응암동,재개발(주택정비형),정비계획 수립,운영
은평구,응암동,재개발(주택정비형),정비계획 수립,운영
금천구,가산동,재건축,조합설립추진위원회승인,운영
금천구,가산동,재건축,이전고시,운영
은평구,불광동,재개발(주택정비형),정비계획 수립,운영
강동구,명일동,재건축,조합설립인가,운영
송파구,오금동,재건축,사업시행인가,운영
용산구,서계동,가로주택정비,조합설립인가,운영
서초구,잠원동,재건축,사업시행인가,운영
영등포구,당산동,재개발(도시정비형),조합설립추진위원회승인,운영
금천구,가산동,재건축,정비계획 수립,운영
종로구,교남동,재개발(주택정비형),정비구역지정,운영
송파구,송파동,재건축,조합설립인가,운영
성북구,장위동,가로주택정비,조합설립인가,운영
서초구,잠원동,재건축,준공인가,운영
강북구,번동,가로주택정비,사업시행인가,운영
강북구,번동,가로주택정비,사업시행인가,운영
영등포구,신길동,재건축,조합설립인가,운영
영등포구,신길동,재건축,조합설립인가,운영
송파구,방이동,재건축,조합설립인가,운영
관악구,신림동,재건축,조합설립인가,운영
영등포구,신길동,재개발(주택정비형),조합설립인가,운영
서대문구,홍은동,가로주택정비,조합설립인가,운영
영등포구,영등포동,재개발(도시정비형),정비구역지정,운영
구로구,개봉동,재건축,조합설립인가,운영
강남구,압구정동,재건축,조합설립인가,운영
구로구,오류동,소규모재건축,조합설립인가,운영
중랑구,중화동,재건축,정비계획 수립,운영
서초구,서초동,재건축,관리처분인가,운영
금천구,시흥동,소규모재건축,조합설립인가,운영
